Study_ID,Scientific_name,Lay_name,Species_higher_taxon,Name_tax_rank,Comment
P_0111,Boreogadus saida,Polar cod,Actinopterygii,species,
P_0111,Careproctus reinhardti,Sea tadpole,Actinopterygii,species,
P_0111,Caridea,True shrimp_infraorder,Malacostraca,infraorder,
P_0111,Gaidropsarus argentatus,Arctic rockling,Actinopterygii,species,
P_0111,Gastropoda,Gastropod_class,Gastropoda,class,
P_0111,Leptagonus decagonus,Atlantic poacher,Actinopterygii,species,
P_0111,Liparis fabricii,Gelatinous snailfish,Actinopterygii,species,
P_0111,Octopoda,Octopus_order,Cephalopoda,order,
P_0111,Ophiuroidea,Brittle star_class,Ophiuroidea,class,
P_0111,Somniosus microcephalus,Greenland shark,Chondrichthyes,species,
P_0111,Triglops nybelini,Bigeye sculpin,Actinopterygii,species,
P_0112,Rissa tridactyla,Black-legged kittiwake,Aves,species,
P_0113,Anguilla anguilla,European eel,Actinopterygii,species,
P_0114,Anguilla anguilla,European eel,Actinopterygii,species,
P_0115,Tachycineta bicolor,Tree swallow,Aves,species,
P_0116,Ardea herodias,Great blue heron,Aves,species,
P_0117,Ardea herodias,Great blue heron,Aves,species,
P_0118,Salvelinus namaycush,Lake trout,Actinopterygii,species,
P_0118,Sander vitreus,Walleye,Actinopterygii,species,
P_0119,Lepomis macrochirus,Bluegill sunfish,Actinopterygii,species,
P_0120,Ursus maritimus,Polar bear,Mammalia,species,
P_0121,Mytilus,Mussel_genus,Bivalvia,genus,
P_0122,Sotalia guianensis,Marine tucuxi dolphin,Mammalia,species,
P_0123,Cerorhinca monocerata,Rhinoceros auklet,Aves,species,
P_0124,Falco tinnunculus,Common kestrel,Aves,species,
P_0124,Pandion haliaetus,Osprey,Aves,species,
P_0124,Strix aluco,Tawny owl,Aves,species,
P_0125,Calonectris borealis,Cosy's shearwater,Aves,species,
P_0125,Calonectris diomedea,Scopoli's shearwater,Aves,species,
P_0126,Tursiops truncatus,Bottlenose dolphin,Mammalia,species,
P_0127,Alca torda,Razorbill,Aves,species,
P_0127,Castor fiber,European beaver,Mammalia,species,
P_0127,Clangula hyemalis,Long-tailed duck,Aves,species,
P_0127,Clupea harengus,Baltic herring,Actinopterygii,species,
P_0127,Gadus morhua,Atlantic cod,Actinopterygii,species,
P_0127,Gavia stellata,Red-throated loon,Aves,species,
P_0127,Melanitta fusca,Velvet scoter,Aves,species,
P_0127,Somateria mollissima,Common eider,Aves,species,used name: Channa punctatus
P_0127,Sprattus sprattus,European sprat,Actinopterygii,species,used name: Channa punctatus
P_0128,Coilia mystus,Lake saury,Actinopterygii,species,
P_0128,Ctenogobius giurinus,Goby,Actinopterygii,species,
P_0128,Culter mongolicus,Mongolian culter,Actinopterygii,species,used name: Culter mongolicus
P_0128,Cyprinus carpio,Common carp,Actinopterygii,species,
P_0128,Exopalaemon,White shrimp_genus,Malacostraca,genus,
P_0128,Hemiculter leucisculus,Sharpbelly,Actinopterygii,species,
P_0128,Macrobrachium nipponense,Taihu lake shrimp ,Malacostraca,species,
P_0128,Misgurnus anguillicaudatus,Pond loach,Actinopterygii,species,
P_0128,Pelteobagrus fulvidraco,Yellowhead catfish,Actinopterygii,species,
P_0129,Clupea harengus,Baltic herring,Actinopterygii,species,
P_0130,Centropristis striata,Black sea bass,Actinopterygii,species,
P_0130,Clupea harengus,Baltic herring,Actinopterygii,species,
P_0130,Hippoglossus stenolepis,Pacific halibut,Actinopterygii,species,
P_0130,Mugil cephalus,Grey mullet,Actinopterygii,species,
P_0130,Sardina pilchardus,European sardine,Actinopterygii,species,
